         1967959 function calls (1948653 primitive calls) in 6.377 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.9/site-packages/numpy/lib/function_base.py:422(asarray_chkfinite)
        2    0.000    0.000    0.000    0.000 /Users/lm/ErwinJr2/QCLayers.py:1379(sheet_density)
        1    0.000    0.000    0.000    0.000 /Users/lm/ErwinJr2/QCLayers.py:944(<listcomp>)
        1    0.000    0.000    0.000    0.000 /Users/lm/ErwinJr2/QCLayers.py:945(<listcomp>)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(diag)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(any)
       24    0.000    0.000    0.000    0.000 /Users/lm/ErwinJr2/QCLayers.py:983(<genexpr>)
        1    0.000    0.000    0.000    0.000 /Users/lm/ErwinJr2/OneDQuantum/band.py:37(__del__)
        1    0.000    0.000    0.000    0.000 /Users/lm/ErwinJr2/QCLayers.py:1371(<listcomp>)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.9/site-packages/numpy/lib/twodim_base.py:214(diag)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.9/site-packages/numpy/core/fromnumeric.py:2249(any)
        1    0.000    0.000    0.000    0.000 /Users/lm/ErwinJr2/QCLayers.py:943(<listcomp>)
        1    0.000    0.000    0.000    0.000 {method 'all' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 /Users/lm/ErwinJr2/OneDQuantum/band.py:93(cZBband_free)
       34    0.000    0.000    0.000    0.000 /Users/lm/ErwinJr2/QCLayers.py:1383(<genexpr>)
       17    0.000    0.000    0.000    0.000 /Users/lm/ErwinJr2/QCLayers.py:1297(<genexpr>)
        1    0.000    0.000    0.000    0.000 {method 'cumsum' of 'numpy.ndarray' objects}
       12    0.000    0.000    0.000    0.000 /usr/local/lib/python3.9/site-packages/numpy/core/fromnumeric.py:71(<dictcomp>)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.9/site-packages/scipy/linalg/blas.py:259(find_best_blas_type)
        2    0.000    0.000    0.000    0.000 {method 'reshape' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 /Users/lm/ErwinJr2/QCLayers.py:1133(_get_IFRList)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.9/site-packages/numpy/core/_methods.py:56(_all)
        1    0.000    0.000    0.000    0.000 {method 'any' of 'numpy.generic' objects}
       23    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.9/site-packages/numpy/lib/function_base.py:244(iterable)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(result_type)
        2    0.000    0.000    0.000    0.000 /Users/lm/ErwinJr2/OptStrata.py:24(<lambda>)
       16    0.000    0.000    0.000    0.000 /Users/lm/ErwinJr2/QCLayers.py:1250(layerMc)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.9/site-packages/numpy/core/_methods.py:53(_any)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.9/site-packages/scipy/linalg/lapack.py:1017(_check_work_float)
        7    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.9/site-packages/numpy/core/getlimits.py:366(__new__)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.any}
       12    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 /Users/lm/ErwinJr2/QCLayers.py:1138(<listcomp>)
        1    0.000    0.000    0.000    0.000 /Users/lm/ErwinJr2/QCLayers.py:1142(<listcomp>)
        1    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 /Users/lm/ErwinJr2/OptStrata.py:18(<lambda>)
        1    0.000    0.000    0.000    0.000 /Users/lm/ErwinJr2/QCLayers.py:1374(<listcomp>)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.9/site-packages/numpy/ma/core.py:6374(isMaskedArray)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.9/site-packages/scipy/sparse/base.py:1205(isspmatrix)
        5    0.000    0.000    0.000    0.000 /usr/local/lib/python3.9/site-packages/numpy/core/fromnumeric.py:2100(_sum_dispatcher)
        1    0.000    0.000    0.000    0.000 {method 'tolist' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 /Users/lm/ErwinJr2/OptStrata.py:34(<lambda>)
        4    0.000    0.000    0.000    0.000 /usr/local/lib/python3.9/site-packages/numpy/core/fromnumeric.py:2584(_amax_dispatcher)
        3    0.000    0.000    0.000    0.000 /usr/local/lib/python3.9/site-packages/numpy/lib/stride_tricks.py:119(<genexpr>)
        1    0.000    0.000    0.000    0.000 /Users/lm/ErwinJr2/QCLayers.py:1301(<listcomp>)
        1    0.000    0.000    0.000    0.000 {method 'conj' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.9/site-packages/scipy/linalg/misc.py:182(_datacopied)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.9/site-packages/numpy/lib/stride_tricks.py:24(_maybe_view_as_subclass)
        1    0.000    0.000    0.000    0.000 /Users/lm/ErwinJr2/QCLayers.py:1302(<listcomp>)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.9/site-packages/numpy/core/fromnumeric.py:2414(_cumsum_dispatcher)
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.9/site-packages/numpy/core/fromnumeric.py:2709(_amin_dispatcher)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.9/site-packages/numpy/lib/stride_tricks.py:137(_broadcast_to_dispatcher)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.9/site-packages/numpy/lib/function_base.py:276(_average_dispatcher)
        1    0.000    0.000    0.000    0.000 {method '__exit__' of 'numpy.nditer' objects}
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.9/site-packages/numpy/core/multiarray.py:634(result_type)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.9/site-packages/numpy/core/multiarray.py:1043(copyto)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.9/site-packages/numpy/lib/twodim_base.py:210(_diag_dispatcher)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.9/site-packages/numpy/core/fromnumeric.py:2245(_any_dispatcher)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.abs}


